size,duration,throughput
2,0.000000003218090833819907,621486497.2055433
3,0.000000007291204901737299,411454627.9292165
4,0.00000000689084958929176,580479946.3648021
5,0.000000020260809447238072,246781848.1300407
6,0.000000013905737671163693,431476570.45495623
8,0.00000001298239585656209,616219077.6178124
10,0.00000004438121078279756,225320576.51469174
12,0.00000002866479745456572,418631948.08964694
15,0.000000080205757074115,187018993.98741522
16,0.00000002886960982256503,554216011.173594
20,0.00000009700233554495569,206180602.63849017
24,0.00000006989685274136919,343363099.4632087
30,0.00000017969852431266249,166946279.13472545
32,0.00000007674627006906854,416958374.2793141
40,0.00000022524942269573865,177580921.27956754
48,0.0000001695612013022233,283083627.8073162
60,0.000000506775119387857,118395709.86135843
64,0.00000019976362712744742,320378644.10205454
80,0.0000007642746072138173,104674418.3895394
96,0.0000004232077596275903,226838940.96005476
120,0.0000017413561894150402,68911806.0563535
128,0.0000006446360501482546,198561653.4640939
160,0.0000023466898737681826,68181143.91190559
192,0.0000015220596168594045,126144861.78680043
240,0.000004779671200573072,50212658.973534524
256,0.0000021293029821200514,120227136.36793591
320,0.000005265744484210526,60770134.39591087
384,0.000005021411140562243,76472527.19421893
480,0.000008358344111853087,57427642.793421865
512,0.00000562338137078651,91048421.97967261
640,0.000010650829538297872,60089216.30927534
768,0.000010374246365145232,74029473.84980948
960,0.000018232274221818173,52653881.15165515
1024,0.000010322135665979392,99204276.43428382
1280,0.000020899394104166647,61245794.66850718
1536,0.000020007905012000006,76769656.74710889
1920,0.000033732989892617435,56917575.52805
2048,0.000023680654499999997,86484096.12158313
2560,0.0000436889187478261,58596094.235620834
3072,0.00004268529264406778,71968582.37838352
3840,0.00007937068306349209,48380584.01145692
4096,0.000045545397345454525,89932248.67339498
5120,0.00010197976835999998,50206036.76923277
6144,0.00008769320982758618,70062437.12688512
7680,0.00016465635754838711,46642596.21887421
8192,0.00011464337406818183,71456375.62209198
10240,0.0002283242064090909,44848508.00993428
12288,0.00020172537991999996,60914496.75233311
15360,0.0004253135139166667,36114535.50711662
16384,0.00024128992076190474,67901717.35423245
20480,0.0005509598209,37171494.58656651
24576,0.00048656044318181826,50509654.749752074
30720,0.0009290184137643726,33067159.42854447
32768,0.0009609213091272486,34100607.08276035
40960,0.0012657669111599125,32359828.3687677
49152,0.0012558335727476913,39138944.0978698
61440,0.001538140408795602,39944337.75269507
65536,0.0012768317614289283,51327044.000422835
81920,0.0017428959725026105,47002231.51148357
98304,0.0018674495776699067,52640778.72595517
122880,0.002462658535696698,49897295.22742651
131072,0.00256723674178645,51055673.15493918
163840,0.003199338400511839,51210587.780832574
196608,0.003310449076770355,59390129.68953718
245760,0.004407140865198238,55764044.65323244
262144,0.003408323778459444,76912880.6531663
327680,0.005432284080347444,60320851.25766138
393216,0.005954823504761896,66033191.35916569
491520,0.007951637150793648,61813685.74532374
524288,0.006815197040871938,76929250.44657585
655360,0.010431778535416677,62823419.58995805
786432,0.011309471853273138,69537464.72010489
983040,0.014652035809941519,67092383.11668606
1048576,0.011402379633257395,91961154.9278373
1310720,0.02071486426859503,63274370.664698474
1572864,0.02250840753363228,69878955.12598178
1966080,0.0302898027108434,64908973.45119274
2097152,0.02820337080898877,74358203.9963681
2621440,0.04167745904999998,62898268.266668744
3145728,0.04542670869369369,69248424.34020984
3932160,0.057911638954022994,67899304.37164465
4194304,0.04161539320661156,100787321.1524441
5242880,0.08163495633870967,64223467.92527077
6291456,0.09060919644642859,69435071.1268004
7864320,0.12273290769047618,64076702.39373181
8388608,0.10101774917999999,83040931.59958091
10485760,0.1756259481724138,59705072.67927186
12582912,0.18886683788888886,66623194.10145777
15728640,0.23807892804545458,66064813.58567379
16777216,0.1380184810540541,121557749.88879429
20971520,0.31958844300000006,65620395.41586301
25165824,0.3348323888,75159467.36870755
31457280,0.4980471099090909,63161253.974030554
33554432,0.37840778878571424,88672677.97968422
41943040,0.717878762,58426355.84196319
50331648,0.7289005357142857,69051462.48888063
62914560,0.9752844029999999,64508936.886997476
67108864,0.5716002452222223,117405240.04483227
83886080,1.32641196875,63242855.143303305
100663296,1.42378992725,70700946.86961833
125829120,2.082668389,60417261.17541797
134217728,1.594845625,84157191.07609552
167772160,2.976642375,56362887.73185257
201326592,3.0727511455,65519979.479900256
251658240,4.2335540835,59443728.6111028
268435456,2.295536625,116937997.44972485
335544320,5.571386833,60226354.77625253
402653184,5.908241292,68151106.91995753
503316480,8.983888792,56024344.42957428
536870912,6.730459166,79767352.97824702
671088640,12.958880084,51786005.86238745
805306368,13.274436292,60665955.99884928
1006632960,18.856700542,53383303.07350967
1073741824,10.277806959,104471880.84805904
1342177280,24.124676542,55635037.3304831
1610612736,25.64457575,62805201.056991555
2013265920,38.265641208,52612888.65006911
2147483648,28.559386459,75193619.830837
2684354560,54.60726725,49157460.08146928
3221225472,57.033062166,56479967.051818565
4026531840,81.97015475,49121925.5627915
