size,duration,throughput
1,0.000000256274355890487,3902068.1430463814
2,0.00000023072675926766728,8668262.001113577
3,0.00000021374456087109575,14035444.8682754
4,0.00000023018299944376963,17377477.961734276
5,0.00000021025129627134336,23781066.22252243
6,0.00000021678208837003083,27677563.423775345
8,0.00000024887773562345974,32144297.600423455
10,0.00000022195189202853414,45054808.538034
12,0.00000024026007070104766,49945877.25286836
15,0.00000022364382450180703,67070933.1385039
16,0.0000002604425005559601,61433905.625407524
20,0.000000236360134979742,84616638.08795068
24,0.0000002517680113363631,95325851.25731441
30,0.0000002476625898848525,121132545.75084639
32,0.00000028348894334184443,112879181.8925117
40,0.0000002757501349698717,145058859.189209
48,0.00000030654821075282093,156582222.03327048
60,0.00000032613665678335695,183971960.0727257
64,0.0000003636170471781427,176009349.66243544
80,0.00000037640811569566447,212535268.67279884
96,0.0000004321700794098563,222134767.24508888
120,0.0000004875065060272562,246150561.1030571
128,0.0000005621102832623049,227713322.1209363
160,0.0000006370222673321579,251168614.04245442
192,0.0000007216853413118338,266043923.8671449
240,0.0000008957220275089079,267940267.88362443
256,0.0000009660058739722231,265008740.5238295
320,0.0000011734247442791935,272706027.0035197
384,0.0000013907486811961948,276110274.409693
480,0.000001711562757756079,280445457.12673575
512,0.0000019306782193336436,265191783.3188755
640,0.000002408049040482579,265775318.21018997
768,0.0000028151901790726845,272805725.77621627
960,0.0000034490185695507483,278340049.6811604
1024,0.00000369917947664138,276818144.7983505
1280,0.000004688798730590773,272991031.08201116
1536,0.0000057616180370502885,266591778.5807212
1920,0.0000071721017620440836,267703953.97356865
2048,0.00000749472069750044,273259015.600545
2560,0.000009470315217281795,270318351.74064887
3072,0.000011437398315907502,268592551.8329954
3840,0.000014393901856848254,266779643.08704975
4096,0.000014941510971500126,274135594.9751555
5120,0.000019289502366820416,265429346.10935506
6144,0.000023276209625134852,263960502.9749084
7680,0.00002953601998995566,260021492.48990703
8192,0.00003064383641714073,267329452.11186996
10240,0.000038111425587856116,268685829.5655802
12288,0.000045859798437093286,267947100.0478921
15360,0.00005779697189918926,265757867.50197306
16384,0.00006095273993978957,268798416.874852
20480,0.00007667758671348511,267092391.37280032
24576,0.00009242917611282943,265890068.84579146
30720,0.0001162490878359581,264260138.0524356
32768,0.00012351187426511677,265302426.95260116
40960,0.00015453872007417717,265046843.79642576
49152,0.0001856430088735395,264766232.23383796
61440,0.0002328844681881667,263821801.7629133
65536,0.0002475102763587809,264780925.31803268
81920,0.00031068250695911705,263677542.71655828
98304,0.000372611399955291,263824456.28822768
122880,0.0004679339428223854,262601168.14531192
131072,0.0004984259507575786,262971861.31817204
163840,0.0006238141399700594,262642331.2685148
196608,0.0007488467883780116,262547697.40796956
245760,0.0009516249979067573,258252988.87753704
262144,0.0010085206220250055,259929241.18263626
327680,0.001277049525791622,256591458.1870868
393216,0.0015394683040935648,255423251.6216205
491520,0.00195736855264188,251112647.8131012
524288,0.002083833394166663,251597849.16954255
655360,0.0025114905504771477,260944640.97246587
786432,0.003003526248048048,261836233.49757364
983040,0.0037728947337858252,260553254.02985492
1048576,0.004015887982343504,261106884.60689953
1310720,0.005023919849397595,260895881.95901752
1572864,0.006033575620024119,260685222.00666684
1966080,0.007563804746223569,259932674.88582617
2097152,0.00805484404669887,260359106.62472466
2621440,0.01011203356767676,259239645.76022232
3145728,0.01206249217108434,260785910.19033337
3932160,0.015157103060606067,259426882.84675226
4194304,0.01609580373311898,260583694.33082324
5242880,0.020156847702811242,260104162.97726873
6291456,0.02427918044660194,259129669.29987696
7864320,0.03030620299393939,259495391.14394173
8388608,0.03228730507741935,259811340.08817318
10485760,0.04034242808064517,259918911.64901614
12582912,0.04830264302884617,260501521.4692399
15728640,0.06058324507228916,259620295.69780004
16777216,0.06443807476923076,260361844.45428428
20971520,0.08081420306451613,259502899.30172148
25165824,0.09726052,258746549.9876003
31457280,0.12578741147500005,250082894.87101862
33554432,0.13202288273684218,254156183.41619754
41943040,0.16159291258064518,259559898.57579768
50331648,0.1936897628076923,259857037.72053513
62914560,0.24181866466666666,260172472.9839368
67108864,0.2585687688,259539712.8255189
83886080,0.323370065125,259412014.42865002
100663296,0.38717677561538455,259993115.1345642
125829120,0.48348390909090905,260255031.52027437
134217728,0.5150996124,260566548.2345061
167772160,0.645596025875,259871736.0018012
201326592,0.7736194764285714,260239818.32699963
251658240,0.9661847706666666,260465956.03691417
268435456,1.0315429165999999,260227133.23917952
335544320,1.28830267775,260454570.02854547
402653184,1.5462318125,260409325.91405985
503316480,1.9323442779999997,260469361.35052434
536870912,2.0634446663333335,260181879.72735912
671088640,2.5777784169999998,260336045.7882211
805306368,3.0919380629999997,260453589.81694454
1006632960,3.8785584165,259537913.80777568
1073741824,4.1209404165,260557473.65353835
1342177280,5.153408125,260444592.67428967
1610612736,6.184913208,260409917.13783804
2013265920,7.731760125,260389081.84570715
2147483648,8.249728417,260309617.41416076
2684354560,10.311106041,260336238.3556346
3221225472,12.45630375,258602032.88636085
4026531840,16.100902875,250081120.99427843
